epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.554,1.66113,1.86929,1.12098,0.49375,0.22519,0.22609,0.13111,1.51762,1.22483,1.09288,0.00047373,0.00047373,0.00047373
2,306.926,1.57957,1.31973,1.12042,0.30198,0.32907,0.27261,0.15451,1.5208,1.1905,1.10549,0.000931252,0.000931252,0.000931252
3,450.646,1.55043,1.21857,1.12359,0.34568,0.30009,0.25598,0.14339,1.49156,1.15696,1.11152,0.00136991,0.00136991,0.00136991
4,578.064,1.53881,1.15283,1.1146,0.33367,0.26121,0.23501,0.13117,1.55538,1.17059,1.11166,0.00134412,0.00134412,0.00134412
5,714.154,1.50711,1.09992,1.10878,0.30944,0.33598,0.2792,0.16053,1.4766,1.05072,1.0912,0.00131582,0.00131582,0.00131582
6,794.403,1.48934,1.06516,1.09615,0.39146,0.32413,0.27407,0.15975,1.45603,0.99443,1.08201,0.00128753,0.00128753,0.00128753
7,894.803,1.46805,1.02425,1.08949,0.3917,0.33385,0.31146,0.18151,1.46234,0.97532,1.07407,0.00125923,0.00125923,0.00125923
8,1043.99,1.45305,0.997,1.08036,0.41384,0.34253,0.31416,0.18871,1.42902,0.95114,1.06815,0.00123094,0.00123094,0.00123094
9,1158.89,1.43793,0.98455,1.07464,0.38344,0.34598,0.30298,0.17756,1.41415,0.93874,1.06016,0.00120265,0.00120265,0.00120265
10,1288.78,1.42581,0.97499,1.07684,0.44204,0.33681,0.32802,0.19246,1.41393,0.92054,1.06065,0.00117435,0.00117435,0.00117435
11,1389.2,1.41026,0.96008,1.06954,0.38315,0.35701,0.3176,0.18985,1.40075,0.92221,1.05677,0.00114606,0.00114606,0.00114606
12,1519.08,1.4109,0.94624,1.06349,0.42987,0.34617,0.33584,0.20363,1.37217,0.88915,1.04097,0.00111776,0.00111776,0.00111776
13,1669.28,1.39509,0.93388,1.05988,0.38044,0.34826,0.31187,0.18407,1.40916,0.9212,1.06174,0.00108947,0.00108947,0.00108947
14,1810.45,1.38773,0.92735,1.05962,0.43239,0.38308,0.34194,0.20546,1.3819,0.87803,1.044,0.00106118,0.00106118,0.00106118
15,1954.93,1.38024,0.91282,1.055,0.40166,0.36475,0.33198,0.20461,1.3731,0.87542,1.04434,0.00103288,0.00103288,0.00103288
16,2086.72,1.37701,0.90025,1.0516,0.43678,0.33801,0.33141,0.20188,1.38492,0.89327,1.04579,0.00100459,0.00100459,0.00100459
17,2189.73,1.36376,0.89447,1.04581,0.44513,0.36462,0.36451,0.22332,1.34723,0.85206,1.03683,0.000976293,0.000976293,0.000976293
18,2291.94,1.37083,0.89266,1.04733,0.44348,0.38601,0.37058,0.21773,1.36795,0.85955,1.03964,0.000947999,0.000947999,0.000947999
19,2406.45,1.34908,0.87781,1.04035,0.44214,0.401,0.37177,0.2306,1.34047,0.84765,1.03256,0.000919704,0.000919704,0.000919704
20,2525.72,1.36695,0.87661,1.04508,0.44464,0.38034,0.35311,0.21771,1.36079,0.88063,1.03807,0.00089141,0.00089141,0.00089141
21,2638.28,1.35469,0.86988,1.03978,0.53947,0.35972,0.39605,0.24867,1.35828,0.83973,1.03654,0.000863116,0.000863116,0.000863116
22,2777.65,1.32888,0.85562,1.03832,0.43742,0.37775,0.36518,0.22632,1.33778,0.83111,1.03439,0.000834822,0.000834822,0.000834822
23,2921.78,1.31658,0.84268,1.03228,0.55693,0.34228,0.38976,0.24349,1.32847,0.81599,1.02266,0.000806528,0.000806528,0.000806528
24,3036.1,1.33292,0.85017,1.03103,0.51814,0.37695,0.38722,0.23935,1.34533,0.81192,1.03065,0.000778233,0.000778233,0.000778233
25,3159.64,1.31698,0.83478,1.02717,0.47732,0.40768,0.41662,0.26264,1.32348,0.81135,1.01988,0.000749939,0.000749939,0.000749939
26,3281.15,1.31072,0.8331,1.02686,0.47946,0.38671,0.38782,0.24278,1.30768,0.81547,1.02234,0.000721645,0.000721645,0.000721645
27,3406.61,1.30922,0.82438,1.02615,0.44448,0.41852,0.39806,0.25385,1.31492,0.8097,1.02054,0.000693351,0.000693351,0.000693351
28,3537.71,1.30713,0.81965,1.02396,0.49315,0.41244,0.40292,0.25372,1.3096,0.80013,1.02254,0.000665057,0.000665057,0.000665057
29,3681.82,1.30005,0.80961,1.01896,0.53431,0.37753,0.39107,0.2422,1.31084,0.80156,1.01536,0.000636762,0.000636762,0.000636762
30,3824.37,1.30012,0.80955,1.01877,0.49667,0.41339,0.40786,0.25711,1.30931,0.78448,1.0172,0.000608468,0.000608468,0.000608468
31,3955.11,1.29191,0.80775,1.01896,0.54169,0.41842,0.42918,0.27148,1.30343,0.78436,1.01196,0.000580174,0.000580174,0.000580174
32,4080.85,1.29024,0.79063,1.01752,0.48226,0.44088,0.43134,0.267,1.30639,0.7887,1.01414,0.00055188,0.00055188,0.00055188
33,4226.62,1.28566,0.79523,1.01956,0.46164,0.4389,0.41888,0.2583,1.30084,0.7734,1.01475,0.000523586,0.000523586,0.000523586
34,4369.83,1.28308,0.78629,1.01251,0.5064,0.42243,0.4322,0.27079,1.29904,0.76766,1.01164,0.000495291,0.000495291,0.000495291
35,4496.71,1.28127,0.78307,1.01357,0.51531,0.42894,0.43599,0.27545,1.29099,0.77018,1.01272,0.000466997,0.000466997,0.000466997
36,4573.3,1.26996,0.77908,1.00787,0.52331,0.41493,0.41822,0.26539,1.29047,0.77133,1.00937,0.000438703,0.000438703,0.000438703
37,4687.16,1.27092,0.77684,1.01007,0.49309,0.45033,0.42533,0.26946,1.28626,0.76813,1.01112,0.000410409,0.000410409,0.000410409
38,4806.54,1.2581,0.76548,1.00667,0.50564,0.44879,0.44689,0.28056,1.29262,0.76704,1.01058,0.000382115,0.000382115,0.000382115
